Mois,Consommation_kWh,Facture_MAD
2006-12-31,698.6508,1114.9069466400001
2007-01-31,1150.2344,1835.5440555200003
2007-02-28,941.5185,1502.4752223
2007-03-31,981.0552,1565.5678881600002
2007-04-30,655.1089,1045.42278262
2007-05-31,733.4813,1170.4894585400002
2007-06-30,595.5074,950.31070892
2007-07-31,497.4828,687.3719847599999
2007-08-31,568.6816,907.50209728
2007-09-30,697.914,1113.7311612
2007-10-31,821.3103,1310.6469767400001
2007-11-30,932.015,1487.309537
2007-12-31,1210.0886,1931.0593878800003
2008-01-31,1086.1751,1733.31822458
2008-02-29,822.2398,1312.13027284
2008-03-31,926.528,1478.5533824000001
2008-04-30,803.4998,1282.2249808400002
2008-05-31,762.068,1216.1081144
2008-06-30,715.7515,1142.1962437
2008-07-31,591.3271,943.63978618
2008-08-31,205.7352,240.21641952
2008-09-30,711.1308,1134.8225306400002
2008-10-31,845.7358,1349.6251896400001
2008-11-30,998.6449,1593.6375314200002
2008-12-31,417.1406,576.36316702
